Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1992,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1401.098
1992,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1145.764
1992,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,890.911
1993,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1701.179
1993,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1239.916
1993,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,949.507
1993,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,789.248
1994,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1962.546
1994,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1491.634
1994,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1159.076
1994,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,846.405
1995,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1778.124
1995,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1343.51
1995,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1042.448
1995,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,526.648
1996,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1884.507
1996,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1486.177
1996,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1095.467
1996,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,808.882
1997,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2026.623
1997,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1494.932
1997,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1071.71
1997,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,854.577
1998,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2118.172
1998,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1453.003
1998,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1089.276
1998,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,789.361
1999,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2183.032
1999,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1521.742
1999,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1047.31
1999,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,887.788
2000,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2125.163
2000,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1601.966
2000,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1144.723
2000,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,947.05
2001,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2194.268
2001,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1537.61
2001,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1159.633
2001,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,953.684
2002,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1982.563
2002,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1554.296
2002,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1133.64
2002,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,874.037
2003,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2160.484
2003,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1569.345
2003,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1159.002
2003,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,888.808
2004,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2168.659
2004,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1618.961
2004,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1301.264
2004,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,1042.765
2005,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2229.923
2005,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1639.028
2005,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1279.491
2005,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,962.87
2006,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2159.36
2006,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1521.752
2006,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1108.372
2006,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,745.844
2007,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2386.76
2007,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1734.113
2007,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1064.353
2007,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,667.803
2008,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1930.03
2008,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1572.89
2008,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,941.928
2008,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,683.279
2009,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1990.077
2009,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1341.241
2009,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1268.128
2009,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,496.13
2010,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2047.327
2010,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1562.416
2010,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,709.088
2010,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,451.287
2011,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1781.86
2011,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1546.195
2011,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,857.408
2011,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,326.606
2012,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2059.698
2012,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1087.335
2012,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,914.64
2012,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,246.966
2013,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2313.517
2013,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1457.983
2013,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,846.908
2013,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,385.769
2014,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2226.897
2014,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1445.998
2014,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1094.289
2014,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,520.256
2015,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2178.498
2015,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1437.843
2015,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,914.201
2015,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,587.312
2016,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2278.852
2016,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1523.15
2016,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,981.553
2016,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,686.089
2017,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2255.701
2017,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1497.291
2017,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,951.067
2017,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,600.241
2018,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2285.984
2018,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1194.797
2018,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1113.619
