ID,Year,StateAbbreviation,None,D0,D1,D2,D3,D4,StatisticFormatID
86,2010,AL,"18,484.08","33,129.76","11,604.44",0,0,0,1
87,2010,AL,"21,044.41","30,569.43","2,844.97",0,0,0,1
88,2010,AL,"21,795.03","29,818.82","9,076.06",0,0,0,1
89,2010,AL,"24,592.84","27,021.00","9,076.92",0,0,0,1
90,2010,AL,"25,504.04","26,109.80",0,0,0,0,1
91,2010,AL,"27,535.31","24,078.53",0,0,0,0,1
92,2010,AL,"28,690.04","22,923.81",0,0,0,0,1
93,2010,AL,"3,833.55","47,780.29","31,004.67","18,110.69","3,232.46",0,1
94,2010,AL,"30,319.84","21,294.00",0,0,0,0,1
95,2010,AL,"31,647.55","19,966.29",0,0,0,0,1
96,2010,AL,"36,786.29","14,827.55",0,0,0,0,1
97,2010,AL,"38,258.80","13,355.04",0,0,0,0,1
98,2010,AL,"44,362.56","7,251.28",0,0,0,0,1
99,2010,AL,"51,613.84",0,0,0,0,0,1
100,2010,AL,"7,183.55","44,430.29","17,662.06","5,817.17",0,0,1
101,2010,AL,77.79,"51,536.05","34,112.38","15,707.94","2,270.21",0,1
102,2010,AL,"9,017.48","42,596.36","28,524.18","15,144.54",939.18,0,1
103,2010,AR,0,"53,162.75","30,879.23","1,035.71",0,0,1
104,2010,AR,0,"53,162.75","30,879.23",965.52,0,0,1
105,2010,AR,0,"53,162.75","45,363.78","37,076.11","7,049.86",0,1
106,2010,AR,"10,028.59","43,134.16","36,253.82","19,366.05",0,0,1
107,2010,AR,"10,079.37","43,083.38","35,952.84","26,681.54","4,237.58",0,1
108,2010,AR,"10,355.12","42,807.64","36,321.30","26,643.77","3,537.65",0,1
109,2010,AR,"10,459.12","42,703.63","36,225.32","23,792.89","2,851.40",0,1
110,2010,AR,"13,376.70","39,786.05","26,942.62","13,375.46",0,0,1
111,2010,AR,"13,437.63","39,725.12","26,942.62","13,375.46",0,0,1
112,2010,AR,"13,730.70","39,432.05","25,126.07","6,644.20",0,0,1
113,2010,AR,"16,293.74","36,869.01","13,582.51",965.52,0,0,1
114,2010,AR,"17,712.45","35,450.31","23,255.28","6,644.20",0,0,1
115,2010,AR,"22,221.07","30,941.69","12,902.96","3,758.34",182.69,0,1
116,2010,AR,"22,901.93","30,260.83","9,372.95","1,883.48",0,0,1
117,2010,AR,"23,063.65","30,099.11","12,908.07","3,804.12",471.98,0,1
118,2010,AR,"23,561.09","29,601.66","3,268.34",179.76,0,0,1
119,2010,AR,"25,686.90","27,475.86","12,908.07","3,804.12",471.98,0,1
120,2010,AR,"26,890.84","26,271.91","12,930.92",965.52,0,0,1
121,2010,AR,"31,033.96","22,128.79","8,310.63",583.03,0,0,1
122,2010,AR,"35,415.10","17,747.65","6,488.16",0,0,0,1
123,2010,AR,"35,552.56","17,610.20","5,305.58",0,0,0,1
124,2010,AR,"41,212.34","11,950.42","5,221.09",0,0,0,1
125,2010,AR,"44,181.38","8,981.37","2,258.20",0,0,0,1
126,2010,AR,"44,298.14","8,864.61",671.86,0,0,0,1
127,2010,AR,"44,687.32","8,475.43","3,795.59",0,0,0,1
128,2010,AR,"45,394.10","7,768.65",349.2,0,0,0,1
129,2010,AR,"45,665.67","7,497.08",349.2,0,0,0,1
130,2010,AR,"45,672.64","7,490.11",0,0,0,0,1
131,2010,AR,"46,823.65","6,339.10","2,331.36",0,0,0,1
132,2010,AR,"49,209.36","3,953.39",0,0,0,0,1
133,2010,AR,"49,292.23","3,870.53",0,0,0,0,1
134,2010,AR,"53,162.75",0,0,0,0,0,1
135,2010,AR,"6,517.28","46,645.47","39,623.90","26,052.71","1,608.27",0,1
136,2010,AR,"8,666.48","44,496.27","37,182.06","26,545.92","2,165.26",0,1
137,2010,AR,841.36,"52,321.39","41,118.92","29,383.35","1,608.27",0,1
138,2010,AR,"9,260.18","43,902.57","35,980.93","24,179.22","2,163.48",0,1
139,2010,AR,"9,260.18","43,902.57","35,980.93","26,681.54","4,237.58",0,1
140,2010,AR,"9,829.73","43,333.02","37,268.65","25,037.76","3,625.18",0,1
141,2010,AZ,0,"114,034.82","110,881.68","81,083.39","5,775.17",0,1
142,2010,AZ,0,"114,034.82","111,005.20","100,315.52","10,954.52",0,1
143,2010,AZ,"12,012.25","102,022.56","63,753.65","16,515.54",0,0,1
144,2010,AZ,143.04,"113,891.78","7,708.39",0,0,0,1
145,2010,AZ,"17,285.75","96,749.07","60,857.33","16,515.54",0,0,1
146,2010,AZ,"17,403.68","96,631.14","60,784.32","16,515.54",0,0,1
147,2010,AZ,"17,403.68","96,631.14","60,857.33","16,515.54",0,0,1
148,2010,AZ,"27,080.31","86,954.51","34,546.59","10,456.02",0,0,1
149,2010,AZ,"27,080.31","86,954.51","55,107.27","16,515.54",0,0,1
150,2010,AZ,"29,978.34","84,056.48","24,542.21","4,797.42",0,0,1
151,2010,AZ,"32,529.82","81,505.00","31,433.49","10,273.55",0,0,1
152,2010,AZ,"32,829.19","81,205.63","32,570.15","5,762.07",0,0,1
153,2010,AZ,"35,806.84","78,227.98","37,006.16",0,0,0,1
154,2010,AZ,"37,586.72","76,448.10","16,458.73","3,031.51",0,0,1
155,2010,AZ,"37,586.72","76,448.10","27,339.53","7,315.33",0,0,1
156,2010,AZ,"44,895.97","69,138.85","16,458.73","3,031.51",0,0,1
157,2010,AZ,"45,331.07","68,703.75","9,976.37","3,683.20",0,0,1
158,2010,AZ,"45,612.48","68,422.34","14,086.05","3,049.85",0,0,1
159,2010,AZ,"45,612.48","68,422.34","14,237.74","3,613.03",0,0,1
160,2010,AZ,"45,612.48","68,422.34","14,237.74","3,683.20",0,0,1
161,2010,AZ,"45,612.48","68,422.34","15,262.97","3,049.85",0,0,1
162,2010,AZ,"45,612.48","68,422.34","21,187.60","3,683.20",0,0,1
163,2010,AZ,"45,612.48","68,422.34","24,999.24","4,062.76",0,0,1
164,2010,AZ,"47,831.34","66,203.48","18,296.38","4,797.42",0,0,1
165,2010,AZ,"49,075.57","64,959.25","16,458.73","3,031.51",0,0,1
166,2010,AZ,"49,120.86","64,913.95","16,458.73","3,031.51",0,0,1
167,2010,AZ,"57,568.76","56,466.05","7,708.39",0,0,0,1
168,2010,AZ,"58,361.02","55,673.80","7,708.39",0,0,0,1
169,2010,AZ,"58,670.24","55,364.58","3,713.79",0,0,0,1
170,2010,AZ,"6,444.03","107,590.79","29,815.37",0,0,0,1
171,2010,AZ,"6,444.03","107,590.79","41,374.90",0,0,0,1
172,2010,AZ,"66,218.36","47,816.46","16,698.63","3,031.51",0,0,1
173,2010,AZ,"68,135.57","45,899.25","16,698.63","3,031.51",0,0,1
